Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,DiffYearsSaleVSBuild,DiffYearsRemodAddVSBuild,DiffYearsGarageVSBuild,LotShape_agg,LotConfig_agg,Neighborhood_agg,Condition1_agg,OverallCond_agg,OverallQual_agg,Exterior1st_agg,Exterior2nd_agg,HeatingQC_agg,BsmtFullBath_optb,BsmtHalfBath_optb,FullBath_optb,HalfBath_optb,Functional_agg,Fireplaces_optb,FireplaceQu_agg,GarageType_optb,GarageQual_agg,SaleType_optb,SaleCondition_optb,LotShape_ord,LandContour_ord,Utilities_ord,LandSlope_ord,OverallQual_ord,OverallCond_ord,ExterQual_ord,ExterCond_ord,BsmtQual_ord,BsmtCond_ord,HeatingQC_ord,KitchenQual_ord,FireplaceQu_ord,GarageQual_ord,GarageCond_ord,PoolQC_ord,BsmtExposure_ord,BsmtFinType1_ord,BsmtFinType2_ord,Functional_ord,GarageFinish_ord
1,2-STORY 1946 & NEWER,Residential Low Density,65,8450,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,706,Unfinshed,0,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,2,548,Typical/Average,Typical/Average,Paved,0,61,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,208500,5.087671232876712,0.0,0.0,Regular,Inside lot,Center and university,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,6,4,4,3,4,3,5,4,0,3,3,0,1,6,1,8,2
2,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80,9600,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Veenker,Adjacent to feeder street,Normal,Single-family Detached,One story,Above Average,Very Good,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,978,Unfinshed,0,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,298,0,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,181500,31.350684931506848,0.0,0.0,Regular,Frontage on 2 / 3 sides of property,High-End Residential Areas,Adjacent to a major street,Excellent,Above Average,Metal Siding,Metal Siding,Excellent,"(-inf, 0.50)","[0.50, inf)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,5,7,3,3,4,3,5,3,3,3,3,0,4,5,1,8,2
3,2-STORY 1946 & NEWER,Residential Low Density,68,11250,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,486,Unfinshed,0,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,2,608,Typical/Average,Typical/Average,Paved,0,42,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,223500,7.671232876712328,1.0,0.0,Slightly irregular,Inside lot,Center and university,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,4,4,3,4,3,5,4,3,3,3,0,2,6,1,8,2
4,2-STORY 1945 & OLDER,Residential Low Density,60,9550,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Good,No Exposure,Average Living Quarters,216,Unfinshed,0,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,Unfinished,3,642,Typical/Average,Typical/Average,Paved,0,35,272,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000,91.14794520547945,55.038356164383565,83.05753424657534,Slightly irregular,Corner lot,Est Ames,Normal,Average,Good,Wood-Based Siding,Wd Shng,Good,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Adjoining Land Purchase'
 'Abnormal Sale -  trade, foreclosure, short sale'
 'Sale between family members']",1,1,4,0,6,4,3,3,3,4,4,4,4,3,3,0,1,5,1,8,1
5,2-STORY 1946 & NEWER,Residential Low Density,84,14260,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Northridge,Normal,Normal,Single-family Detached,2Story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,655,Unfinshed,0,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,3,836,Typical/Average,Typical/Average,Paved,192,84,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,250000,8.923287671232877,0.0,0.0,Slightly irregular,Frontage on 2 / 3 sides of property,North Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,7,4,4,3,4,3,5,4,3,3,3,0,3,6,1,8,2
6,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,85,14115,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,1.5Fin,Average,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Average/Typical,Average/Typical,Wood,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,732,Unfinshed,0,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Typical/Average,5,Typical Functionality,0,No fireplace,Attached to home,Unfinished,2,480,Typical/Average,Typical/Average,Paved,40,30,0,320,0,0,No pool,Minimum Privacy,Shed (over 100 SF),700,2009,Warranty Deed - Conventional,Normal Sale,143000,16.75890410958904,2.0,0.0,Slightly irregular,Inside lot,South Est Ames,Normal,Average,Average,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,4,4,3,3,4,3,5,3,0,3,3,0,1,6,1,8,1
7,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75,10084,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,186,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1369,Unfinshed,0,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,2,636,Typical/Average,Typical/Average,Paved,255,57,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,307000,3.5835616438356164,1.0027397260273974,0.0,Regular,Inside lot,South and west Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,7,4,4,3,5,3,5,4,4,3,3,0,3,6,1,8,2
8,2-STORY 1946 & NEWER,Residential Low Density,0,10382,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,2Story,Good,Above Average,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,240,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Typical/Average,7,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,235,204,228,0,0,0,No pool,No fence,Shed (over 100 SF),350,2009,Warranty Deed - Conventional,Normal Sale,200000,36.85753424657534,0.0,0.0,Slightly irregular,Corner lot,North Ames,Near positive off-site,Above Average,Good,Wood-Based Siding,Wood-Based Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[1.50, inf)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,5,3,3,4,3,5,3,3,3,3,0,2,5,4,8,2
9,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51,6120,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,1.5Fin,Good,Average,Gable,Standard (Composite) Shingle,Brick Face,Wd Shng,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,0,1774,0,0,2,0,2,2,Typical/Average,8,Minor Deductions 1,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Detached from home,Unfinished,2,468,Fair,Typical/Average,Paved,90,0,205,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900,77.3013698630137,19.013698630136986,0.0,Regular,Inside lot,Center and university,Adjacent to a major street,Average,Good,Brick or Stone Façade,Wd Shng,Good,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Minor Deductions,"[1.50, inf)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Detached from home' 'More than one type of garage' 'Basement Garage'],Fair,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Adjoining Land Purchase'
 'Abnormal Sale -  trade, foreclosure, short sale'
 'Sale between family members']",0,1,4,0,6,4,3,3,3,3,4,3,3,2,3,0,1,1,1,7,1
10,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,50,7420,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Adjacent to arterial street,Adjacent to arterial street,2fmCon,1.5Unf,Average,Above Average,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,851,Unfinshed,0,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Typical/Average,5,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,1,205,Good,Typical/Average,Paved,0,4,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,118000,69.04657534246576,11.008219178082191,0.0,Regular,Corner lot,Green and Natural Areas,Adjacent to a major street,Above Average,Average,Metal Siding,Metal Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"[1.50, inf)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Good,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,5,3,3,3,3,5,3,3,4,3,0,1,6,1,8,2
